n (rpm),U (m/s),Re,U*,A/D,f,f*
180,0.234,18720,2.512449,0.018682,1.365074,1.17254
200,0.26,20800,2.79161,0.053253,0.898951,0.77216
220,0.286,22880,3.070771,0.122251,0.751629,0.645617
240,0.312,24960,3.349933,0.189825,0.784117,0.673523
280,0.364,29120,3.908255,0.863633,0.968604,0.831989
320,0.416,33280,4.466577,0.972003,1.098535,0.943595
360,0.468,37440,5.024899,1.035469,1.145913,0.98429
400,0.52,41600,5.583221,1.076131,1.272912,1.093377
440,0.572,45760,6.141543,0.79469,1.237964,1.063358
480,0.624,49920,6.699865,0.603729,1.312336,1.12724
520,0.676,54080,7.258187,0.49045,1.410999,1.211987
560,0.728,58240,7.816509,0.407573,1.50129,1.289544
600,0.78,62400,8.374831,0.3045,1.642208,1.410586
640,0.832,66560,8.933153,0.131252,1.809955,1.554673
680,0.884,70720,9.491475,0.061536,1.834711,1.575938
